EDAD,VICTIMAS,OBITO,RANGO
19,1,1,JOVENES
70,1,1,ANCIANOS
30,1,1,JOVENES
18,1,1,ADOLESCENTES
29,1,1,JOVENES
30,1,1,JOVENES
29,1,1,JOVENES
18,1,1,ADOLESCENTES
22,1,1,JOVENES
16,1,1,ADOLESCENTES
16,1,1,ADOLESCENTES
19,1,1,JOVENES
59,1,1,MAYORES
65,1,1,ANCIANOS
59,1,1,MAYORES
34,1,1,JOVENES
41,1,1,MAYORES
34,1,1,JOVENES
30,1,1,JOVENES
34,1,1,JOVENES
50,1,1,MAYORES
38,1,1,JOVENES
21,1,1,JOVENES
52,1,1,MAYORES
34,1,1,JOVENES
36,1,1,JOVENES
20,1,1,JOVENES
29,1,1,JOVENES
20,1,1,JOVENES
54,2,1,MAYORES
0,2,1,NIÑXS
56,1,1,MAYORES
24,1,1,JOVENES
0,1,1,NIÑXS
41,1,1,MAYORES
0,1,1,NIÑXS
0,1,1,NIÑXS
78,1,1,ANCIANOS
36,1,1,JOVENES
38,1,1,JOVENES
30,1,1,JOVENES
79,1,1,ANCIANOS
26,1,1,JOVENES
57,1,1,MAYORES
37,1,1,JOVENES
20,1,1,JOVENES
20,1,1,JOVENES
30,1,1,JOVENES
58,1,1,MAYORES
30,1,1,JOVENES
23,1,1,JOVENES
60,1,1,MAYORES
42,1,1,MAYORES
53,1,1,MAYORES
0,1,1,NIÑXS
30,1,1,JOVENES
51,1,1,MAYORES
60,1,1,MAYORES
40,1,1,MAYORES
87,1,1,ANCIANOS
76,1,1,ANCIANOS
57,1,1,MAYORES
0,1,1,NIÑXS
75,1,1,ANCIANOS
23,1,1,JOVENES
70,1,1,ANCIANOS
35,1,1,JOVENES
60,1,1,MAYORES
24,1,1,JOVENES
35,1,1,JOVENES
29,1,1,JOVENES
0,1,1,NIÑXS
80,1,1,ANCIANOS
43,1,1,MAYORES
45,1,1,MAYORES
57,1,1,MAYORES
67,1,1,ANCIANOS
29,1,1,JOVENES
21,1,1,JOVENES
19,1,1,JOVENES
38,1,1,JOVENES
21,1,1,JOVENES
53,1,1,MAYORES
57,1,1,MAYORES
27,1,1,JOVENES
24,1,1,JOVENES
60,1,1,MAYORES
55,1,1,MAYORES
0,1,1,NIÑXS
30,1,1,JOVENES
43,1,1,MAYORES
27,1,1,JOVENES
0,1,1,NIÑXS
49,1,1,MAYORES
58,1,1,MAYORES
67,1,1,ANCIANOS
30,1,1,JOVENES
37,2,1,JOVENES
60,2,1,MAYORES
50,1,1,MAYORES
81,1,1,ANCIANOS
29,1,1,JOVENES
35,1,1,JOVENES
30,1,1,JOVENES
41,1,1,MAYORES
25,1,1,JOVENES
29,1,1,JOVENES
30,1,1,JOVENES
33,1,1,JOVENES
35,1,1,JOVENES
20,1,1,JOVENES
46,1,1,MAYORES
35,1,1,JOVENES
83,1,1,ANCIANOS
39,1,1,JOVENES
29,1,1,JOVENES
55,1,1,MAYORES
0,1,1,NIÑXS
41,1,1,MAYORES
42,1,1,MAYORES
83,1,1,ANCIANOS
38,1,1,JOVENES
29,1,1,JOVENES
23,1,1,JOVENES
23,1,1,JOVENES
23,1,1,JOVENES
29,1,1,JOVENES
50,1,1,MAYORES
38,1,1,JOVENES
23,1,1,JOVENES
29,1,1,JOVENES
37,1,1,JOVENES
43,1,1,MAYORES
24,1,1,JOVENES
21,1,1,JOVENES
0,1,1,NIÑXS
38,1,1,JOVENES
35,1,1,JOVENES
0,1,1,NIÑXS
28,1,1,JOVENES
27,1,1,JOVENES
7,1,1,NIÑXS
18,1,1,ADOLESCENTES
33,1,1,JOVENES
48,1,1,MAYORES
29,1,1,JOVENES
36,1,1,JOVENES
23,1,1,JOVENES
29,1,1,JOVENES
30,1,1,JOVENES
4,1,1,NIÑXS
22,1,1,JOVENES
82,1,1,ANCIANOS
27,1,1,JOVENES
32,1,1,JOVENES
30,1,1,JOVENES
43,1,1,MAYORES
39,1,1,JOVENES
23,1,1,JOVENES
23,2,1,JOVENES
19,2,1,JOVENES
0,1,1,NIÑXS
87,1,1,ANCIANOS
34,1,1,JOVENES
27,1,1,JOVENES
70,1,1,ANCIANOS
40,1,1,MAYORES
28,1,1,JOVENES
43,1,1,MAYORES
28,3,1,JOVENES
32,3,1,JOVENES
30,3,1,JOVENES
0,2,1,NIÑXS
20,2,1,JOVENES
41,1,1,MAYORES
40,1,1,MAYORES
43,1,1,MAYORES
17,1,1,ADOLESCENTES
21,1,1,JOVENES
37,1,1,JOVENES
22,1,1,JOVENES
47,1,1,MAYORES
28,1,1,JOVENES
20,1,1,JOVENES
32,1,1,JOVENES
80,1,1,ANCIANOS
39,1,1,JOVENES
30,1,1,JOVENES
47,1,1,MAYORES
35,1,1,JOVENES
79,1,1,ANCIANOS
61,1,1,MAYORES
21,1,1,JOVENES
10,1,1,NIÑXS
21,1,1,JOVENES
32,1,1,JOVENES
39,1,1,JOVENES
80,1,1,ANCIANOS
25,1,1,JOVENES
19,1,1,JOVENES
70,1,1,ANCIANOS
55,1,1,MAYORES
30,1,1,JOVENES
60,1,1,MAYORES
33,1,1,JOVENES
95,1,1,ANCIANOS
36,1,1,JOVENES
37,1,1,JOVENES
73,1,1,ANCIANOS
84,1,1,ANCIANOS
30,1,1,JOVENES
73,1,1,ANCIANOS
43,1,1,MAYORES
23,1,1,JOVENES
22,1,1,JOVENES
58,1,1,MAYORES
66,1,1,ANCIANOS
0,1,1,NIÑXS
56,1,1,MAYORES
36,1,1,JOVENES
87,1,1,ANCIANOS
61,1,1,MAYORES
28,1,1,JOVENES
16,1,1,ADOLESCENTES
61,1,1,MAYORES
46,1,1,MAYORES
18,1,1,ADOLESCENTES
85,1,1,ANCIANOS
41,1,1,MAYORES
17,2,1,ADOLESCENTES
10,2,1,NIÑXS
21,1,1,JOVENES
56,1,1,MAYORES
79,1,1,ANCIANOS
1,2,1,NIÑXS
0,2,1,NIÑXS
76,1,1,ANCIANOS
26,1,1,JOVENES
34,1,1,JOVENES
22,1,1,JOVENES
26,1,1,JOVENES
20,1,1,JOVENES
36,1,1,JOVENES
51,1,1,MAYORES
29,1,1,JOVENES
39,2,1,JOVENES
36,2,1,JOVENES
24,1,1,JOVENES
60,1,1,MAYORES
57,1,1,MAYORES
23,1,1,JOVENES
